Turkish,English
bir,One
ve,And
olmak,to be
bu,This
için,for
o,he
ben,I
demek,means
çok,A lot
yapmak,to do
ne,What
gibi,like
daha,more
almak,to take
var,there is
kendi,own
gelmek,to come
ile,with
vermek,to give
ama,But
sonra,later
kadar,much
yer,place
en,#NAME?
insan,person
degil,not
her,each
istemek,to want
yil,year
çikmak,to leave
görmek,to see
gün,day
biz,We
gitmek,to go
is,work
sey,thing
ara,Search
ki,that
bilmek,to know
el,hand
zaman,time
ya,either
çocuk,child
iki,two
bakmak,to look
çalismak,to work
içinde,inside
büyük,big
yok,no
baslamak,to start
yol,path
kalmak,to stay
neden,From where
siz,you
konu,Subject
yapilmak,be done
iyi,Good
kadin,Woman
ev,house
ise,whereas
diye,saying
bulunmak,have
söylemek,to say
göz,eyelash
gerekmek,need
dünya,World
bas,head
durum,situation
yan,side
geçmek,to go past
sen,you
onlar,them
yeni,new
önce,before
baska,Another
hal,status
orta,middle
su,This
girmek,to enter
ülke,country
yemek,food
hiç,none
bile,even
nasil,How
bütün,all
karsi,opposite
bulmak,to find
böyle,like this
yasamak,to live
düsünmek,to think
ayni,same
iç,drink
ancak,however
kisi,person
bunlar,these
veya,or
ilk,first
göre,according to
ön,front
son,end
biri,someone
sekil,shape
önemli,important
yüz,face
hem,both
göstermek,to show
etmek,to do
alt,lower
getirmek,to bring
kullanmak,to use
çünkü,Because
taraf,side
simdi,Now
adam,man
onun,her
diger,other
artik,Now
üzerinde,on
ses,sound
hep,always
dogru,TRUE
durmak,stop
kiz,girl
tüm,all
çekmek,to pull
konusmak,to talk
para,money
anlamak,to understand
anne,mom
az,little
bazi,some
baba,father
hayat,life
sadece,Only
küçük,Small
fazla,more
bilgi,information
an,moment
sormak,to ask
bunun,this
öyle,like that
yine,again
saglamak,to ensure
sonuç,conclusion
kullanilmak,to be used
dis,external
ad,name
yani,well
süre,duration
dönmek,return
açmak,open
oturmak,to sit
anlatmak,to explain
birakmak,to leave
hemen,immediately
saat,hour
yas,age
sorun,problem
devlet,state
sahip,owner
sira,order
yazmak,to write
yüzde,percentage
ay,moon
atmak,to throw
tutmak,to hold
bunu,this
olay,event
düsmek,to fall
duymak,to listen
söz,promise
güzel,Beautiful
sevmek,to love
biraz,A little
zor,difficult
çikarmak,subtract
su,This
koymak,to put
tek,only
sistem,system
birlikte,together
verilmek,to be given
kim,who
alinmak,to be taken
genç,youth
kapi,door
kitap,book
üzerine,over
burada,Here
gece,night
alan,area
birbiri,each other
iste,at work
beklemek,to wait
uzun,LONG
hiçbir,no
bugün,Today
dönem,period
arkadas,friend
ürün,product
aile,family
üç,fly
okumak,to read
erkek,Male
herkes,everyone
güç,strength
belki,maybe
gerçek,real
tam,full
ilgili,relating to
iliski,relationship
çevre,environment
eski,old
aramak,to call
yasam,life
halk,people
yakin,close
sokak,street
bey,gentleman
tarih,history
özellik,feature
bölüm,section
özel,special
akil,mind
kimse,noone
pek,much
eger,if
gerek,necessary
özellikle,especially
anlam,meaning
yüksek,high
banka,bank
kez,times
ayak,foot
tasimak,to carry
geri,back
toplum,society
araç,vehicle
madde,article
tür,type
karar,decision
görülmek,to be seen
hava,weather
sayi,number
farkli,different
grup,group
oda,room
biçim,format
olusmak,to consist of
haber,news
Allah,God
ayrica,Moreover
gelen,incoming
birkaç,a few
soru,question
arka,back
kazanmak,to win
yazi,writing
okul,school
açik,open
ögrenmek,to learn
sürmek,to spread
dil,language
sirket,company
kaynak,source
bitmek,run out
program,program
devam etmek,to continue
hareket,movement
renk,colour
açilmak,open
hak,right
inanmak,to believe
çalisma,study
açi,angle
parça,piece
gazete,newspaper
olusturmak,to create
tabi,subject to
deger,value
tanimak,to recognise
yapi,structure
doktor,doctor
gelir,income
görev,duty
amaç,aim
bölge,area
film,film
üzere,about to
müsteri,customer
zaten,already
telefon,telephone
egitim,education
deniz,sea
ikinci,second
kalkmak,to get up
hatta,even
etki,effect
gelismek,to develop
geçen,last
vücut,body
düsünce,thought
milyon,million
oynamak,play
degismek,changing
temel,basis
yaratmak,create
ulasmak,to reach
sanmak,to think
geçirmek,put in
kültür,culture
kurmak,to create
fakat,but
buna,this
resim,picture
isik,light
içmek,to drink
hanim,woman
hizmet,service
ihtiyaç,need
nokta,point
yön,direction
evet,Yes
oyun,game
artmak,increase
yeniden,again
islem,process
kisa,short
kolay,easy
hangi,Which
oran,ratio
aslinda,Actually
kabul etmek,to accept
orada,there
dikkat,attention
uzak,far
bilgisayar,computer
gelecek,future
görünmek,seem
örnegin,for example
ogul,son
dinlemek,to listen
uygun,suitable
lira,lira
üretim,production
dakika,minute
unutmak,to forget
yürümek,to walk
böylece,like this
kötü,bad
araba,car
agiz,mouth
duygu,feeling
uygulamak,to apply
hâlâ,still
örnek,example
birçok,A lot
izlemek,to watch
derece,degree
mümkün,possible
söyle,Like this
duvar,wall
on,front
sanat,art
ana,mother
hastalik,illness
ögrenci,student
televizyon,television
yöntem,method
masa,table
ölmek,to die
takim,set
üst,top
kafa,head
müzik,music
ayrilmak,To leave
enerji,energy
üniversite,university
spor,sport
türlü,kinds
can,life
ragmen,despite
kisim,part
ölüm,death
sürekli,continually
saglik,health
çesitli,various
bundan,from this
hissetmek,to feel
oysa,whereas
sabah,morning
internet,Internet
teknik,technical
disari,outside
merkez,centre
ortam,environment
yerine,in its place
düzey,level
köy,bay
yönetim,management
asagi,down
cevap,reply
yatmak,to lie down
toprak,soil
isim,name
aksam,evening
arastirma,research
götürmek,take away
katilmak,to join
yoksa,or?
kurulmak,set up
ödemek,pay
sanki,as if
kan,blood
hasta,patient
sehir,city
inmek,to get down
sunmak,to present
bilinmek,to be known
hafta,week
trafik,traffic
hesap,bill
otomobil,car
yabanci,foreign
davranis,behaviour
mutfak,kitchen
kent,city
bazen,Sometimes
belli,clear
ayri,separate
fiyat,price
hakkinda,about
kaldirmak,to pick up
kol,arm
yalniz,alone
hazirlamak,to prepare
cam,pine
sonunda,finally
yavas,slow
gerekli,necessary
önem,importance
koca,husband
yanlis,wrong
varlik,presence
art,art
ilgi,interest
sana,to you
satis,sales
içeri,inside
dogal,natural
sahip olmak,have
ekonomik,economic
aci,angle
hayir,No
korumak,to protect
kat,floor
ekonomi,economy
genel,general
belirtmek,to indicate
fotograf,Photograph
hayvan,animal
savas,war
mal,goods
saç,hair
kaybetmek,to lose
kalan,remainder
degistirmek,to change
dört,four
gerçekten,Really
sayfa,page
teknoloji,technology
kurum,organisation
bes,five
sektör,sector
genis,wide
kagit,paper
koku,smell
sag,Right
sicak,hot
yüzyil,century
cadde,street
pazar,Sunday
sürdürmek,to continue
kullanim,use
sinif,class
ask,love
dogmak,be born
agir,heavy
tekrar,again
günes,sun
sigara,cigarette
agaç,tree
kelime,word
bina,building
es,spouse
kaçmak,to escape
parti,party
yatak,bed
yazar,writer
kulak,ear
ögretmen,teacher
sebep,reason
sol,left
peki,Alright
yag,oil
yüzden,why
anlasilmak,be understood
varmak,to arrive
gülmek,to laugh
kural,rule
satmak,to sell
siir,poem
göndermek,to send
basari,success
firma,company
hükümet,government
kalp,heart
kesmek,to cut
proje,project
sart,condition
hiz,speed
köse,corner
vurmak,hit
model,model
balik,fish
piyasa,market
görüs,opinion
bura,here
hazirlanmak,prepare
miktar,amount
birinci,first
meydan,square
ölçü,measurement
seçmek,to choose
uygulanmak,be applied
bahçe,garden
sevgi,love
ekmek,bread
boyunca,along
kosmak,to run
dolu,full
kurulus,establishment
saye,thanks
korkmak,to be scared
yardim,help
karsilasmak,to encounter
malzeme,material
hos,pleasant
köpek,dog
ünlü,famous
büyümek,grow
dolasmak,to wander
oldukça,increasingly
üstelik,besides
yasanmak,to live
beyaz,white
istek,request
öte,beyond
denmek,to try
kardes,brother
çekilmek,retreat
nerede,where
çalmak,to play
izin,permission
korku,fear
meslek,job
polis,police
yalnizca,Only
açiklamak,to explain
fikir,idea
hizli,fast
pencere,window
ugrasmak,to strive
tas,stone
ates,fire
fark,difference
yetmek,enough
çogu,most
kimi,who
kosul,condition
mahalle,neighbourhood
mutlaka,definitely
tane,unit
üretmek,to produce
üstüne,over
dayanmak,to resist
ince,thin
kaç,how much
ortak,partner
tip,medicine
görüntü,image
beri,since
ders,lesson
baskan,minister
karsilik,opposite
kurtulmak,to be saved
numara,number
defa,times
edilmek,to be made
bati,West
fark etmek,to notice
herhangi bir,any
sinema,cinema
degisik,strange
hedef,aim
uyumak,to sleep
dost,friend
yanmak,burn
anlayis,understanding
asil,royal
basmak,print
kenar,edge
kontrol,control
çevirmek,turn
din,religion
güçlü,strong
henüz,yet
plan,plan
beyin,brain
elektrik,electric
kari,wife
üstünde,above
et,meat
saglanmak,be provided
söylenmek,to be grumbled
çizgi,line
uç,fly
üye,member
cilt,skin
ruh,soul
sevgili,beloved
yaklasmak,approach
süreç,period
bakis,view
bilim,science
ileri,forward
ifade,expression
beden,body
hatirlamak,to remember
kaza,accident
iyice,thoroughly
dag,mountain
kapatmak,to close
adim,my name
ciddi,serious
çözüm,solution
etkilemek,to influence
belediye,council
gelisme,development
seçim,vote
aglamak,to cry
bagli,connected
kavram,concept
artirmak,increase
faaliyet,activity
zarar,damage
derin,deep
salon,living room
çesit,sort
kesilmek,cut off
seyretmek,to watch
birden,suddenly
içermek,to contain
sayilmak,be counted
toplamak,to collect
asmak,exceed
bagirmak,to shout
sorumluluk,responsibility
davranmak,to behave
mektup,letter
soguk,cold
canli,live
idi,was
makine,machine
yararlanmak,benefit
yasli,old
bos,empty
acaba,I wonder
maç,match
yönetici,executive
getirilmek,to be brought
metre,metre
tutulmak,to be held
kalite,quality
bitki,herb
degisiklik,change
ilaç,medicine
kredi,credit
yasa,law
basarili,successful
birer,one by one
imkan,facility
ceza,punishment
her sey,everything
incelemek,to examine
top,ball
uzman,expert
doldurmak,to fill
kanal,channel
mekân,place
uymak,to suit
yillik,yearly
dolayisiyla,therefore
yazilmak,to be written
ait,belonging
parmak,finger
saymak,to count
atilmak,embark on
belirlemek,to determine
normal,normal
hele,all in all
ilke,principle
kirmizi,red
rol,role
sarki,song
eleman,Workman
hazir,ready
benzemek,to resemble
bir sey,Something
hoca,teacher
boy,size
günlük,daily
politika,policy
suç,crime
niye,Why
sahne,scene
sokmak,sting
adet,piece
koltuk,armchair
kurtarmak,to save
sanatçi,artist
tercih etmek,to prefer
uzanmak,to lie down
asama,stage
eklemek,to add
orman,forest
ayirmak,to separate
düzen,order
faiz,interest
genellikle,Generally
her zaman,Always
hikaye,story
hücre,cell
ora,there
roman,novel
vergi,tax
yakmak,burn
agabey,brother
basin,Press
destek,support
giymek,to wear
hata,mistake
sinir,border
birlik,unity
eser,work
karsilamak,to meet
yari,half
yeterli,sufficient
birey,individual
karanlik,darkness
otobüs,bus
sanayi,industry
bebek,baby
vatandas,citizen
bakan,minister
kere,times
millet,people
reklam,advert
yükselmek,rise
boyut,dimension
dergi,magazine
enflasyon,inflation
sosyal,social
birisi,someone
geçmis,past
hastahane,hospital
olma,being
toplanti,meeting
gazeteci,journalist
içerisi,inside
inanç,belief
nitelik,qualification
üzeri,above
bitirmek,finish
gerçeklesmek,happen
giris,entrance
rahat,comfortable
toplam,total
beraber,together
dükkan,shop
gizli,hidden
benzer,similar
deri,skin
dönüsmek,turn into
mücadele,struggle
problem,problem
servis,service
tedavi,treatment
yesil,green
bakanlik,ministry
baski,oppression
tepki,reaction
cümle,sentence
dilemek,wish
özgürlük,freedom
gene,again
kimlik,identity
mesele,issue
üçüncü,third
belirlenmek,be determined
degerlendirmek,to evaluate
ilginç,interesting
sürücü,driver
süt,milk
yakalamak,to capture
esya,furniture
uluslararasi,international
aday,applicant
agirlik,weight
milyar,billion
saglikli,healthy
sikinti,problem
Tanri,God
tavir,attitude
toplumsal,social
yayin,broadcasting
dikkat etmek,to be careful
son derece,extremely
toplanmak,collect
yatirim,investment
hafif,light
karismak,interfere
tehlike,danger
vakit,time
daire,apartment
firsat,opportunity
islemek,handle
karistirmak,to mix up
katki,contribution
öykü,story
tamamen,completely
uçak,aeroplane
yanit,response
doga,nature
evlenmek,to marry
burun,nose
çikar,interest
elbette,certainly
isçi,employee
isletme,business
kisaca,briefly
magaza,shopping centre
medya,media
yüzünden,because
artis,increase
çikarilmak,be removed
kamu,public
sigorta,insurance
yaz,Summer
yürek,heart
belge,document
çaba,effort
her gün,every day
ifade etmek,to express
risk,risk
söz etmek,mention
sözcük,word
demokrasi,democracy
tuz,salt
cami,mosque
çag,age
düsük,low
etraf,around
hizla,quickly
olanak,possibility
organ,organ
öldürmek,kill
öteki,other
sene,year
bozulmak,break down
ilgilenmek,to take care of
meyve,fruit
takilmak,to hang around
tatli,sweet
bacak,leg
degisim,change
kanun,law
rüzgar,wind
cumhuriyet,republic
gelistirmek,to develop
tarz,style
yedi,seven
azalmak,decrease
baglamak,to connect
cep telefonu,mobile phone
iletisim,communication
müdür,manager
otel,hotel
yayimlanmak,be published
zevk,pleasure
binmek,to get on
güvenlik,security
hukuk,law
kilmak,make
modern,modern
okur,reader
silah,weapon
talep,request
yildiz,star
yogun,busy
asker,soldier
basit,simple
denilmek,to be called
gaz,gas
uygulama,APPLICATION
üretilmek,produce
beyan,declaration
besin,food
dün,Yesterday
görüsmek,to meet
yaklasik,approximately
alisveris,shopping
bilinç,consciousness
çerçeve,frame
lazim,required
mevcut,available
tüketici,consumer
uzatmak,to lengthen
yönelik,oriented
at,horse
baglanmak,connect
mesela,for example
neredeyse,almost
site,site
yardimci olmak,help
abla,older sister
çiçek,flower
hepsi,all
saygi,respect
ücret,fee
yetenek,talent
kilo,kilo
paylasmak,to share
sert,hard
yani sira,Besides the
çay,tea
gider,expense
kesin,definite
zengin,rich
asla,never
laf,word
örgüt,organization
ticaret,trade
yaptirmak,have it made
boyun,neck
cihaz,device
denge,balance
giderek,increasingly
sirt,back
dolayi,because
kahve,coffee
kas,eyebrow
meclis,council
öteki,other
ugrasmak,to strive
adres,address
belirtilmek,be specified
pasa,Pasha
sicaklik,heat
tamam,Ok
güven,trust
marka,brand
yaprak,leaf
yarar,benefit
yayilmak,spread
akmak,flow
çizmek,to draw
düsünülmek,to be considered
gönül,heart
hayal,dream
ilerlemek,to go forward
sarap,wine
yukarida,above
altin,gold
düzenlemek,to organise
satin almak,to buy
sunulmak,be presented
temiz,clean
vitamin,vitamin
ek,additional
geç,late
hareket etmek,act
yumurta,egg
asiri,extreme
eylem,action
istenmek,to be wanted
kesim,cut
kriz,crisis
birim,unit
kapanmak,shut up